text,label
"Get out of here, nobody wants your kind. 💯 #funny",0
sis Nee brain unda? 😂,2
idk Vallaki place ledu ikkada. 😎,0
Un community ku inga edam illa.  #life,0
bruh Tum jaise log desh ke liye threat ho. 😂,0
Nalla rasam undayirunnu. 🙄,1
Loosu madhiri pesatha! 💯,2
idk Doston ke saath masti kar raha hu!,1
sis Inka hona hi problem hai.,0
idk Dost sathe garba karela 🎉  #toxic,1
wtf Innu college nannayirunnu 😄  #fail,1
wtf Aayana laanti vaallu problem. 😡 😤,0
Inka hona hi problem hai.  #mood,0
Aaj mausam suhana hai 😍 🙄,1
Tari vaat samdi ne hasi avi gayi 🤣 😡,2
"wtf Get out of here, nobody wants your kind.",0
Ane ena jivata hoy to problem che.,0
Avi mentality waala loko kharab che. 😭,0
wtf Poyi valarnnu vaa da! 😒 😤,2
Avanga varatha thadunga. Bad influence. 👍 #fail,0
lol Oder dekhe ekhane ashte ichhe kore na. 💯 #funny,0
Vallaki place ledu ikkada.,0
omg Ajke raat bhalo lagche 😌 😡,1
lmao Tum jaise log desh ke liye threat ho.,0
Tu kitna pagal hai bro 😒 😡,2
omg Vallaki place ledu ikkada. 😡,0
lol Inka hona hi problem hai. 👎,0
idk Aayana laanti vaallu problem. 😡,0
Bakwaas band kar idiot!,2
Tane kai samajh pade che? 😤,2
Tane kai samajh pade che? 😤,2
wtf Nee romba irritating da 🤬 👍 #mood,2
A loko to desh ma j nahi joie.,0
lmao Tari vaat samdi ne hasi avi gayi 🤣,2
Friends tho hangout super ga undhi. 😂,1
sis Class la nalla fun pannom. 😤,1
sis Doston ke saath masti kar raha hu!,1
bruh Nee romba irritating da 🤬 🔥 #funny,2
Had a great day today 😊  #funny,1
lol Friends tho hangout super ga undhi.,1
Nee romba irritating da 🤬  #mood,2
bruh Aayana laanti vaallu problem. 😡 👍 #funny,0
Had a great day today 😊,1
bro Avanga varatha thadunga. Bad influence.  #lol,0
Had a great day today 😊,1
sis People like you are the worst. Disgusting.,0
bro Oru vattam koodi kandupidikkanam ivide. 😠 😡 #toxic,0
sis This community should be banned! 😤 #funny,0
wtf Inko coffee tho chill 😎,1
bruh Bakwaas band kar idiot!,2
omg Ajke raat bhalo lagche 😌,1
wtf Tum jaise log desh ke liye threat ho. 😡,0
Majja avi gayi yaar 😍 😡,1
"Avanga ellarum same thaan, useless. 💯",0
smh Eda thettu parayanam! 😤,2
omg Edo matladtunnadu pakkalo 😒,2
Ei dhoroner lokera khub baje.  #life,0
smh Enna da pannra? Waste fellow!,2
Avi mentality waala loko kharab che. 😤,0
Oder community er kono jayga nei ekhane.  #mood,0
wtf Inka hona hi problem hai. 😡 #life,0
Nee onnum ariyilla alle 😑,2
Tui akdom pagol naki? 😭,2
Aaj mausam suhana hai 😍 😡,1
Ane ena jivata hoy to problem che. 😂,0
bro Ei dhoroner lokera khub baje.,0
Inko coffee tho chill 😎 🔥 #funny,1
idk Had a great day today 😊,1
wtf Nee romba irritating da 🤬 🔥,2
Tu kitna pagal hai bro 😒 😡,2
bro Cafe il poyi chaya kudichu ☕ 👍 #savage,1
idk Cafe il poyi chaya kudichu ☕,1
omg Edo matladtunnadu pakkalo 😒 💯,2
Bakwaas band kar idiot!,2
wtf Faltu ma na bol ne!,2
Doston ke saath masti kar raha hu!  #savage,1
idk Ei dhoroner lokera khub baje. 😂,0
Tari vaat samdi ne hasi avi gayi 🤣,2
wtf Faltu ma na bol ne! 👍 #lol,2
That was dumb af bro 🙄  #toxic,2
bro Avide karikal onnum venda. 😡,0
Ane ena jivata hoy to problem che. 😤,0
smh Eda thettu parayanam! 😡,2
sis Faltu ma na bol ne! 🔥,2
Nee brain unda? 🙄,2
smh Vallaki place ledu ikkada.,0
idk Aaj mausam suhana hai 😍,1
Cinemata darun chhilo! 🙄,1
idk Tor matha thik ache? 🔥 #funny,2
idk Avanga varatha thadunga. Bad influence. 😭,0
sis Tari vaat samdi ne hasi avi gayi 🤣 👎,2
Tari vaat samdi ne hasi avi gayi 🤣 😭,2
Tor matha thik ache? 👎,2
idk Doston ke saath masti kar raha hu!,1
bro This community should be banned! 😤,0
bro Tu kitna pagal hai bro 😒,2
Edo matladtunnadu pakkalo 😒 👎,2
wtf Cinemata darun chhilo!,1
Tari vaat samdi ne hasi avi gayi 🤣 😂 #lol,2
lmao Ane ena jivata hoy to problem che.,0
bruh Majja avi gayi yaar 😍,1
bruh Tari vaat samdi ne hasi avi gayi 🤣 😭 #funny,2
Poyi valarnnu vaa da! 😒 💯 #toxic,2
What a game! Loved it 🔥,1
"sis Get out of here, nobody wants your kind.",0
College ni picnic best hati.,1
People like you are the worst. Disgusting. 😡,0
sis Pichhodu la undev 😠 🔥,2
Pichhodu la undev 😠 😭,2
Aaj mausam suhana hai 😍,1
lmao Aaj mausam suhana hai 😍 😂,1
lmao Ajke raat bhalo lagche 😌,1
Chilling with friends #goodvibes 😂,1
Eda thettu parayanam! 🔥,2
idk This community should be banned!,0
sis Inka hona hi problem hai.,0
wtf College ni picnic best hati.  #lol,1
idk Avi mentality waala loko kharab che.  #mood,0
wtf Iniki lunch biriyani! 😋,1
Nee romba irritating da 🤬,2
Tui akdom pagol naki?,2
omg Innu college nannayirunnu 😄,1
lmao Kya faltu baatein kar raha hai 😑  #fail,2
lmao Tui akdom pagol naki?  #toxic,2
Dost sathe garba karela 🎉  #mood,1
omg Aaj mausam suhana hai 😍  #funny,1
Apni community leke chale jao yahan se.,0
Nalla rasam undayirunnu.,1
That was dumb af bro 🙄,2
"Get out of here, nobody wants your kind. 😡",0
"Avanga ellarum same thaan, useless. 😡",0
Class la nalla fun pannom. 👍,1
You're such a loser 😤,2
Chilling with friends #goodvibes 🙄,1
bro Vallaki place ledu ikkada. 👍,0
You're such a loser 😤 😡 #lol,2
What a game! Loved it 🔥 😭 #toxic,1
Aaj mausam suhana hai 😍 😡,1
smh Inko coffee tho chill 😎 👍,1
bro Eda thettu parayanam! 😎,2
Innu college nannayirunnu 😄  #lol,1
sis This community should be banned! 😂 #savage,0
smh You're such a loser 😤 😡,2
Loosu madhiri pesatha! 🙄 #savage,2
Chilling with friends #goodvibes 😡 #savage,1
Tane kai samajh pade che? 😤,2
lmao Ki faltu gatha korchis re!  #savage,2
bruh This community should be banned!  #savage,0
bro Chilling with friends #goodvibes 😭,1
Majja avi gayi yaar 😍 👍,1
Nee onnum ariyilla alle 😑 😎,2
bruh Ane ena jivata hoy to problem che.  #life,0
Iniki lunch biriyani! 😋,1
Aayana laanti vaallu problem. 😡,0
wtf Inko coffee tho chill 😎,1
Nee onnum ariyilla alle 😑,2
idk Tum jaise log desh ke liye threat ho.,0
Inka hona hi problem hai. 😡,0
bruh Aaj mausam suhana hai 😍 🔥,1
Tu kitna pagal hai bro 😒 👎,2
smh Oder community er kono jayga nei ekhane.,0
Tane kai samajh pade che? 😤,2
Ane ena jivata hoy to problem che.  #life,0
Cricket match mast tha!,1
Ninna movie chala bagundhi.  #mood,1
sis Nee onnum ariyilla alle 😑,2
smh Avide karikal onnum venda. 😤,0
lol Dost sathe garba karela 🎉 😎,1
smh Enna da pannra? Waste fellow!,2
This community should be banned!  #mood,0
sis Faltu ma na bol ne! 👎,2
Doston ke saath masti kar raha hu!,1
Aaj mausam suhana hai 😍,1
wtf Can't believe u said that. Idiot! 👍,2
lol Friends tho hangout super ga undhi. 😂,1
Nethu movie super da 😍 😡,1
idk Can't believe u said that. Idiot! 😎,2
Had a great day today 😊,1
smh Majja avi gayi yaar 😍  #toxic,1
Dost sathe garba karela 🎉 😎,1
Poyi valarnnu vaa da! 😒,2
lol A community tho matladadam waste.  #funny,0
bro Cinemata darun chhilo! 🔥,1
omg Facebook e ekta nice post dekhlam. 😤,1
"lmao Avanga ellarum same thaan, useless.",0
This community should be banned! 😎,0
Doston ke saath masti kar raha hu!,1
Can't believe u said that. Idiot! 😂 #savage,2
"Avanga ellarum same thaan, useless.",0
Faltu ma na bol ne!,2
idk Avi mentality waala loko kharab che. 😡,0
Oder dekhe ekhane ashte ichhe kore na.  #savage,0
lmao This community should be banned! 🙄,0
Aayana laanti vaallu problem. 😡 👍 #funny,0
Cafe il poyi chaya kudichu ☕ 🙄,1
Faltu ma na bol ne!,2
Facebook e ekta nice post dekhlam. 😤,1
smh Nalla rasam undayirunnu.,1
This community should be banned!  #fail,0
lol Aayana laanti vaallu problem. 😡,0
idk College ni picnic best hati.,1
Oder dekhe ekhane ashte ichhe kore na.,0
omg Tane kai samajh pade che? 😤 😎,2
Class la nalla fun pannom. 💯 #savage,1
lmao Ki faltu gatha korchis re! 👍,2
bruh Nee onnum ariyilla alle 😑 👍,2
lol Nee onnum ariyilla alle 😑 🙄,2
bro You're such a loser 😤 😂 #lol,2
bro A loko to desh ma j nahi joie.  #savage,0
sis Doston ke saath masti kar raha hu!  #funny,1
Dost sathe garba karela 🎉 👎,1
lol People like you are the worst. Disgusting. 👍,0
wtf Majja avi gayi yaar 😍 🔥,1
Nee brain unda? 😎,2
Enna da pannra? Waste fellow!,2
You're such a loser 😤,2
idk You're such a loser 😤 😎,2
Bakwaas band kar idiot!,2
lol Oder dekhe ekhane ashte ichhe kore na.,0
"Avanga ellarum same thaan, useless. 🔥",0
Tari vaat samdi ne hasi avi gayi 🤣 👍,2
Avanga varatha thadunga. Bad influence. 😡,0
Innu college nannayirunnu 😄,1
"Get out of here, nobody wants your kind.  #fail",0
Had a great day today 😊,1
Tu kitna pagal hai bro 😒 😎 #savage,2
idk Nethu movie super da 😍 💯 #savage,1
lmao Avarude samuham mosham aanallo.,0
A community tho matladadam waste.,0
lmao Tane kai samajh pade che? 😤,2
Avarude samuham mosham aanallo.,0
Tane kai samajh pade che? 😤 💯,2
Nee onnum ariyilla alle 😑 👍,2
Avarude samuham mosham aanallo.,0
lol Inko coffee tho chill 😎,1
lmao Cafe il poyi chaya kudichu ☕ 😂,1
omg Chilling with friends #goodvibes,1
Bakwaas band kar idiot! 👍,2
That was dumb af bro 🙄  #toxic,2
bruh Chilling with friends #goodvibes 👍,1
"bruh Avanga ellarum same thaan, useless. 😤",0
bruh That was dumb af bro 🙄,2
bruh Avanga varatha thadunga. Bad influence. 👍,0
"Avanga ellarum same thaan, useless. 🙄 #savage",0
College ni picnic best hati. 🙄 #funny,1
idk You're such a loser 😤,2
Avi mentality waala loko kharab che. 😤 #mood,0
wtf Nee brain unda? 😡,2
Oder dekhe ekhane ashte ichhe kore na. 💯,0
Nethu movie super da 😍,1
omg Ninna movie chala bagundhi.,1
wtf Un community ku inga edam illa.,0
bruh Tane kai samajh pade che? 😤 😎 #life,2
smh Ei dhoroner lokera khub baje. 👎,0
idk Friends tho hangout super ga undhi.,1
This community should be banned!,0
Ki faltu gatha korchis re! 👎,2
Dost sathe garba karela 🎉,1
lol Innu college nannayirunnu 😄 😎,1
Ninna movie chala bagundhi. 🔥,1
bro Nee romba irritating da 🤬 👍,2
omg Inka hona hi problem hai. 😭 #lol,0
What a game! Loved it 🔥 💯,1
"bro Avanga ellarum same thaan, useless. 🔥",0
lol Class la nalla fun pannom. 🙄,1
Ajke raat bhalo lagche 😌 👍,1
Avarude samuham mosham aanallo. 😡,0
bruh Tor matha thik ache?,2
Ninna movie chala bagundhi.  #toxic,1
Oder community er kono jayga nei ekhane. 😭,0
bruh Doston ke saath masti kar raha hu!,1
smh People like you are the worst. Disgusting. 😎,0
idk Can't believe u said that. Idiot! 👍,2
omg Oder dekhe ekhane ashte ichhe kore na.,0
sis Enna da pannra? Waste fellow!,2
Can't believe u said that. Idiot! 😎 #funny,2
Can't believe u said that. Idiot! 👎 #toxic,2
Kya faltu baatein kar raha hai 😑 🔥 #savage,2
sis Cinemata darun chhilo!,1
Bakwaas band kar idiot!,2
Oder dekhe ekhane ashte ichhe kore na. 👍,0
What a game! Loved it 🔥  #mood,1
Oder dekhe ekhane ashte ichhe kore na.,0
Avide karikal onnum venda.,0
lol Doston ke saath masti kar raha hu!,1
Ajke raat bhalo lagche 😌 👎,1
smh Majja avi gayi yaar 😍,1
bruh Avarude samuham mosham aanallo. 😡 #funny,0
lol Cricket match mast tha!,1
Nee brain unda? 😎 #life,2
Oder community er kono jayga nei ekhane.,0
wtf Nee romba irritating da 🤬 💯,2
What a game! Loved it 🔥,1
Facebook e ekta nice post dekhlam.,1
bruh Doston ke saath masti kar raha hu! 😂 #fail,1
"wtf Get out of here, nobody wants your kind. 😎 #fail",0
"Avanga ellarum same thaan, useless. 😎",0
omg Cinemata darun chhilo! 👍,1
Ninna movie chala bagundhi. 🙄,1
smh College ni picnic best hati. 😤,1
bro Tor matha thik ache? 😤,2
sis This community should be banned! 😭,0
What a game! Loved it 🔥 😭,1
Eda thettu parayanam!,2
Oru vattam koodi kandupidikkanam ivide. 😠 🙄,0
idk Oru vattam koodi kandupidikkanam ivide. 😠  #life,0
smh Avide karikal onnum venda. 👎 #fail,0
Kya faltu baatein kar raha hai 😑 😎,2
Ane ena jivata hoy to problem che. 😡 #toxic,0
Nee romba irritating da 🤬 😡,2
bro A community tho matladadam waste.,0
That was dumb af bro 🙄 🔥 #savage,2
bruh Cricket match mast tha! 👎,1
Un community ku inga edam illa. 😡 #mood,0
lol Tor matha thik ache? 💯,2
bro Ninna movie chala bagundhi.  #toxic,1
wtf Poyi valarnnu vaa da! 😒,2
Tari vaat samdi ne hasi avi gayi 🤣 🙄,2
Tor matha thik ache?,2
bruh Aaj mausam suhana hai 😍 👍,1
Nee onnum ariyilla alle 😑 💯 #savage,2
omg Innu college nannayirunnu 😄 💯,1
Avanga varatha thadunga. Bad influence.  #toxic,0
bruh Tum jaise log desh ke liye threat ho.,0
bro Bakwaas band kar idiot! 🔥 #toxic,2
Facebook e ekta nice post dekhlam. 👍,1
lol Oder dekhe ekhane ashte ichhe kore na.,0
"Avanga ellarum same thaan, useless.  #funny",0
lol Aayana laanti vaallu problem. 😡,0
omg Nalla rasam undayirunnu.  #life,1
sis Oru vattam koodi kandupidikkanam ivide. 😠 😭,0
Nee onnum ariyilla alle 😑 😂,2
Avanga varatha thadunga. Bad influence. 🔥,0
Cafe il poyi chaya kudichu ☕ 😡,1
Loosu madhiri pesatha! 🔥,2
lol A loko to desh ma j nahi joie. 🔥,0
lmao Poyi valarnnu vaa da! 😒 😎 #toxic,2
A loko to desh ma j nahi joie. 💯 #life,0
Oru vattam koodi kandupidikkanam ivide. 😠 👎 #life,0
Edo matladtunnadu pakkalo 😒 😭 #savage,2
Kya faltu baatein kar raha hai 😑  #lol,2
Nee brain unda?  #lol,2
Aaj mausam suhana hai 😍 🙄,1
College ni picnic best hati. 😭,1
bro Bakwaas band kar idiot!  #mood,2
Can't believe u said that. Idiot!,2
Vallaki place ledu ikkada. 😎,0
smh Tui akdom pagol naki?,2
sis Apni community leke chale jao yahan se. 😤 #savage,0
bruh Facebook e ekta nice post dekhlam.,1
Avi mentality waala loko kharab che.,0
Oru vattam koodi kandupidikkanam ivide. 😠,0
Nee onnum ariyilla alle 😑  #funny,2
idk Loosu madhiri pesatha! 😂,2
bro Oder community er kono jayga nei ekhane. 😡 #fail,0
You're such a loser 😤 🔥 #mood,2
Tane kai samajh pade che? 😤,2
omg Oru vattam koodi kandupidikkanam ivide. 😠 👎,0
lol Apni community leke chale jao yahan se.  #life,0
bruh Un community ku inga edam illa.  #savage,0
Tor matha thik ache?,2
Class la nalla fun pannom.  #lol,1
Ane ena jivata hoy to problem che.  #savage,0
Avi mentality waala loko kharab che. 💯 #fail,0
bruh People like you are the worst. Disgusting.,0
Class la nalla fun pannom. 😂,1
idk Oder dekhe ekhane ashte ichhe kore na.  #lol,0
Poyi valarnnu vaa da! 😒,2
Iniki lunch biriyani! 😋  #savage,1
smh Innu college nannayirunnu 😄 💯 #mood,1
lmao Kya faltu baatein kar raha hai 😑 😂,2
sis Tane kai samajh pade che? 😤  #lol,2
Aaj mausam suhana hai 😍 💯,1
bruh Ane ena jivata hoy to problem che.,0
Ane ena jivata hoy to problem che.,0
Nee brain unda?,2
Nalla rasam undayirunnu. 🔥,1
Loosu madhiri pesatha!,2
bro Aaj mausam suhana hai 😍 👎,1
bruh Ki faltu gatha korchis re!,2
Faltu ma na bol ne!,2
lol Innu college nannayirunnu 😄 😡,1
Avanga varatha thadunga. Bad influence.,0
"bruh Avanga ellarum same thaan, useless.",0
bro College ni picnic best hati. 🙄,1
Tane kai samajh pade che? 😤,2
Un community ku inga edam illa. 👎 #toxic,0
Oru vattam koodi kandupidikkanam ivide. 😠,0
Bakwaas band kar idiot! 😡,2
omg Bakwaas band kar idiot! 🔥,2
bruh Cinemata darun chhilo! 😂 #mood,1
Friends tho hangout super ga undhi.,1
lol Had a great day today 😊  #lol,1
smh Faltu ma na bol ne! 👎,2
idk Vallaki place ledu ikkada.,0
"lol Avanga ellarum same thaan, useless. 🙄",0
This community should be banned! 💯,0
Inko coffee tho chill 😎,1
bruh Inko coffee tho chill 😎,1
This community should be banned! 😎,0
smh Cafe il poyi chaya kudichu ☕ 💯 #savage,1
Ajke raat bhalo lagche 😌  #mood,1
Avide karikal onnum venda. 😭 #toxic,0
sis Loosu madhiri pesatha! 😂,2
bro Chilling with friends #goodvibes,1
bruh Tu kitna pagal hai bro 😒,2
sis Bakwaas band kar idiot!,2
smh Inko coffee tho chill 😎,1
Facebook e ekta nice post dekhlam.,1
lol Apni community leke chale jao yahan se.,0
lmao Un community ku inga edam illa.  #funny,0
College ni picnic best hati. 🙄,1
"bruh Get out of here, nobody wants your kind.",0
Can't believe u said that. Idiot!  #mood,2
People like you are the worst. Disgusting.  #fail,0
Aayana laanti vaallu problem. 😡 💯,0
omg Oder community er kono jayga nei ekhane.,0
Avi mentality waala loko kharab che. 👎,0
lmao Pichhodu la undev 😠 😭,2
Avi mentality waala loko kharab che.  #toxic,0
Cricket match mast tha! 😭,1
bro You're such a loser 😤 🙄,2
Kya faltu baatein kar raha hai 😑,2
What a game! Loved it 🔥,1
bro Tari vaat samdi ne hasi avi gayi 🤣,2
Ei dhoroner lokera khub baje. 😎,0
lol Avanga varatha thadunga. Bad influence.,0
Nalla rasam undayirunnu. 🔥 #fail,1
bruh Avanga varatha thadunga. Bad influence. 🔥 #lol,0
omg Kya faltu baatein kar raha hai 😑 💯,2
Tui akdom pagol naki? 💯 #fail,2
omg Innu college nannayirunnu 😄 👎,1
Eda thettu parayanam!  #savage,2
Had a great day today 😊,1
wtf Bakwaas band kar idiot!  #toxic,2
idk You're such a loser 😤 👍 #lol,2
Kya faltu baatein kar raha hai 😑 🔥,2
That was dumb af bro 🙄,2
Tor matha thik ache?,2
idk Tui akdom pagol naki? 🔥 #lol,2
Doston ke saath masti kar raha hu!,1
sis What a game! Loved it 🔥 🔥,1
smh Innu college nannayirunnu 😄,1
Tu kitna pagal hai bro 😒  #mood,2
Inka hona hi problem hai.,0
lol College ni picnic best hati.  #toxic,1
bro Ki faltu gatha korchis re!  #funny,2
lmao Inko coffee tho chill 😎 👎,1
Aaj mausam suhana hai 😍,1
lol Iniki lunch biriyani! 😋 😡,1
bruh Kya faltu baatein kar raha hai 😑,2
Avarude samuham mosham aanallo.,0
Un community ku inga edam illa. 💯,0
bruh Nee onnum ariyilla alle 😑 😂,2
smh Nalla rasam undayirunnu. 🙄,1
sis Bakwaas band kar idiot!,2
idk What a game! Loved it 🔥 😂,1
Tum jaise log desh ke liye threat ho.,0
lol Avi mentality waala loko kharab che. 😤 #savage,0
Inko coffee tho chill 😎 🙄,1
Tor matha thik ache?,2
idk A community tho matladadam waste.  #life,0
Cafe il poyi chaya kudichu ☕ 😤,1
Inko coffee tho chill 😎,1
Avi mentality waala loko kharab che.,0
idk Un community ku inga edam illa. 👎,0
smh Avide karikal onnum venda.,0
bruh Innu college nannayirunnu 😄,1
smh Cricket match mast tha!,1
"bruh Get out of here, nobody wants your kind. 😡 #toxic",0
lol Inko coffee tho chill 😎 👎,1
Cinemata darun chhilo!  #lol,1
Oder dekhe ekhane ashte ichhe kore na. 🔥 #toxic,0
Had a great day today 😊 😡,1
idk Iniki lunch biriyani! 😋,1
Pichhodu la undev 😠 😂 #mood,2
Ki faltu gatha korchis re! 😤,2
lmao Un community ku inga edam illa. 😤,0
omg Tane kai samajh pade che? 😤 😭,2
Pichhodu la undev 😠,2
bro Inka hona hi problem hai. 😂,0
idk Cinemata darun chhilo!,1
smh Avarude samuham mosham aanallo. 🙄 #lol,0
"Avanga ellarum same thaan, useless.",0
idk You're such a loser 😤,2
wtf Ki faltu gatha korchis re! 👍 #funny,2
Class la nalla fun pannom. 😡,1
wtf Loosu madhiri pesatha! 👎,2
smh Avi mentality waala loko kharab che. 🙄,0
That was dumb af bro 🙄 😂,2
Eda thettu parayanam!  #savage,2
bro Class la nalla fun pannom. 👍 #toxic,1
lmao Class la nalla fun pannom.,1
lol Chilling with friends #goodvibes,1
smh Tu kitna pagal hai bro 😒 💯 #toxic,2
omg Had a great day today 😊 😎,1
smh People like you are the worst. Disgusting.  #savage,0
Tum jaise log desh ke liye threat ho.,0
Doston ke saath masti kar raha hu! 👎,1
Nalla rasam undayirunnu.  #toxic,1
Bakwaas band kar idiot!  #mood,2
A community tho matladadam waste.,0
"smh Get out of here, nobody wants your kind. 💯",0
wtf Aaj mausam suhana hai 😍 😤,1
lol Tor matha thik ache? 🙄,2
bruh Faltu ma na bol ne! 😂 #funny,2
Iniki lunch biriyani! 😋,1
lol Can't believe u said that. Idiot! 💯,2
Faltu ma na bol ne! 😡,2
"Get out of here, nobody wants your kind.",0
lol Tari vaat samdi ne hasi avi gayi 🤣  #funny,2
sis Iniki lunch biriyani! 😋,1
Apni community leke chale jao yahan se. 💯 #funny,0
Inka hona hi problem hai.  #life,0
Inka hona hi problem hai. 😭,0
bro Un community ku inga edam illa. 😭 #toxic,0
lol Ajke raat bhalo lagche 😌,1
A community tho matladadam waste.,0
Bakwaas band kar idiot!,2
Oder dekhe ekhane ashte ichhe kore na.,0
sis Un community ku inga edam illa.  #funny,0
bruh Oru vattam koodi kandupidikkanam ivide. 😠 👎,0
lmao Apni community leke chale jao yahan se. 🙄,0
Enna da pannra? Waste fellow! 🙄,2
Oru vattam koodi kandupidikkanam ivide. 😠  #toxic,0
Enna da pannra? Waste fellow! 😡,2
bro Oder community er kono jayga nei ekhane.,0
Avi mentality waala loko kharab che. 😭,0
Nethu movie super da 😍,1
Nee onnum ariyilla alle 😑 👍,2
Oder community er kono jayga nei ekhane.,0
Nee brain unda? 💯 #fail,2
A loko to desh ma j nahi joie.,0
Loosu madhiri pesatha!,2
wtf Tu kitna pagal hai bro 😒 👍,2
Iniki lunch biriyani! 😋,1
Oder community er kono jayga nei ekhane.,0
smh People like you are the worst. Disgusting. 💯,0
bruh Chilling with friends #goodvibes,1
Faltu ma na bol ne!,2
idk Oru vattam koodi kandupidikkanam ivide. 😠,0
Eda thettu parayanam! 👎 #savage,2
Tum jaise log desh ke liye threat ho.  #savage,0
idk Ninna movie chala bagundhi.,1
A community tho matladadam waste. 👎,0
Apni community leke chale jao yahan se.,0
Loosu madhiri pesatha! 😤,2
lol Majja avi gayi yaar 😍  #life,1
Oru vattam koodi kandupidikkanam ivide. 😠 💯 #life,0
wtf Tane kai samajh pade che? 😤,2
sis Tu kitna pagal hai bro 😒,2
Pichhodu la undev 😠,2
Facebook e ekta nice post dekhlam.,1
lol Dost sathe garba karela 🎉  #lol,1
Tui akdom pagol naki?,2
lol Eda thettu parayanam!  #funny,2
wtf Tari vaat samdi ne hasi avi gayi 🤣  #lol,2
idk This community should be banned! 👎,0
bruh Tor matha thik ache?,2
You're such a loser 😤 😂,2
bruh A community tho matladadam waste.,0
What a game! Loved it 🔥  #toxic,1
Tari vaat samdi ne hasi avi gayi 🤣 😂 #toxic,2
Ki faltu gatha korchis re! 😭,2
Oru vattam koodi kandupidikkanam ivide. 😠,0
lol Ane ena jivata hoy to problem che. 😎,0
smh Iniki lunch biriyani! 😋 🙄,1
Ane ena jivata hoy to problem che. 👍 #lol,0
That was dumb af bro 🙄 😤 #toxic,2
bro Tane kai samajh pade che? 😤 😭,2
Inko coffee tho chill 😎 👍,1
wtf Cafe il poyi chaya kudichu ☕ 👍,1
idk Avanga varatha thadunga. Bad influence.  #savage,0
Inka hona hi problem hai. 😤,0
"bro Get out of here, nobody wants your kind. 😎 #fail",0
bruh Had a great day today 😊,1
Oder community er kono jayga nei ekhane.,0
wtf Avanga varatha thadunga. Bad influence. 🙄 #life,0
wtf Bakwaas band kar idiot! 🙄,2
"idk Get out of here, nobody wants your kind. 👍",0
"bro Avanga ellarum same thaan, useless.",0
Had a great day today 😊,1
Tane kai samajh pade che? 😤 😂 #funny,2
lmao Avide karikal onnum venda. 🔥,0
College ni picnic best hati.,1
wtf A loko to desh ma j nahi joie. 😡,0
Friends tho hangout super ga undhi.  #mood,1
sis Enna da pannra? Waste fellow!,2
idk Tari vaat samdi ne hasi avi gayi 🤣 😡 #fail,2
lol Oder dekhe ekhane ashte ichhe kore na. 🔥,0
idk Un community ku inga edam illa. 😭 #savage,0
Dost sathe garba karela 🎉 👎,1
Ane ena jivata hoy to problem che. 🙄,0
idk Vallaki place ledu ikkada.,0
smh Avide karikal onnum venda.,0
omg Can't believe u said that. Idiot! 😎,2
Vallaki place ledu ikkada. 🙄,0
sis Avanga varatha thadunga. Bad influence. 🔥,0
Aaj mausam suhana hai 😍,1
sis Aayana laanti vaallu problem. 😡 🔥,0
lmao Tane kai samajh pade che? 😤,2
Facebook e ekta nice post dekhlam.,1
Edo matladtunnadu pakkalo 😒  #funny,2
Ninna movie chala bagundhi. 😤,1
sis Aayana laanti vaallu problem. 😡  #toxic,0
bro Apni community leke chale jao yahan se.  #life,0
omg Nee onnum ariyilla alle 😑 😤,2
What a game! Loved it 🔥,1
Loosu madhiri pesatha!,2
bro Kya faltu baatein kar raha hai 😑 😂,2
Eda thettu parayanam! 😭 #fail,2
Avanga varatha thadunga. Bad influence.,0
Aaj mausam suhana hai 😍 😡,1
sis Ajke raat bhalo lagche 😌 😎,1
bruh Cafe il poyi chaya kudichu ☕ 😭,1
wtf Tui akdom pagol naki?,2
sis You're such a loser 😤,2
lol Inko coffee tho chill 😎,1
omg Iniki lunch biriyani! 😋,1
idk Bakwaas band kar idiot! 😭,2
lol Facebook e ekta nice post dekhlam. 😤,1
Enna da pannra? Waste fellow! 💯,2
Cinemata darun chhilo! 😎 #fail,1
sis Avi mentality waala loko kharab che. 🙄,0
Can't believe u said that. Idiot!,2
"omg Get out of here, nobody wants your kind.  #funny",0
idk Apni community leke chale jao yahan se. 😎,0
Kya faltu baatein kar raha hai 😑  #toxic,2
That was dumb af bro 🙄,2
lmao Oru vattam koodi kandupidikkanam ivide. 😠 😂,0
omg Pichhodu la undev 😠 💯 #toxic,2
Edo matladtunnadu pakkalo 😒 👍,2
Avi mentality waala loko kharab che. 👍,0
omg College ni picnic best hati. 💯 #funny,1
Eda thettu parayanam! 😡 #savage,2
omg Tui akdom pagol naki?,2
Un community ku inga edam illa.,0
Eda thettu parayanam!,2
lmao Can't believe u said that. Idiot!  #toxic,2
lol Iniki lunch biriyani! 😋 😂,1
idk A loko to desh ma j nahi joie. 😎,0
College ni picnic best hati. 😡 #life,1
sis Can't believe u said that. Idiot! 🔥,2
Cricket match mast tha!,1
Aaj mausam suhana hai 😍,1
What a game! Loved it 🔥,1
Cinemata darun chhilo! 😂 #life,1
Avide karikal onnum venda. 🙄,0
Aaj mausam suhana hai 😍 👎 #toxic,1
bruh Cafe il poyi chaya kudichu ☕ 😤,1
smh A loko to desh ma j nahi joie. 👍 #mood,0
wtf Tui akdom pagol naki? 🙄,2
lol Tari vaat samdi ne hasi avi gayi 🤣,2
Ajke raat bhalo lagche 😌,1
smh You're such a loser 😤,2
lol Doston ke saath masti kar raha hu!,1
